CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"26,016","-7,352","2,75,729",17.29,4.90,-8.50,"1,300",4.85,4.90,"1,170","25,050.00",65,834.55,854.85,130,146.20,835.00,-,23,-13,38,
,"69,577","-7,662","5,20,919",17.66,4.20,-6.60,"2,665",4.10,4.15,65,"25,100.00",65,884.70,896.25,65,151.75,888.85,-,110,-28,549,
,"25,087","5,540","2,91,057",18.11,3.70,-5.35,"2,925",3.60,3.70,975,"25,150.00",65,929.55,950.90,65,161.20,937.15,-,77,33,49,
,"1,01,373","27,593","7,43,173",18.40,3.10,-4.30,"1,690",3.10,3.20,"2,145","25,200.00",65,983.75,995.55,65,146.25,985.15,-,207,-42,"1,070",
,"23,915","6,301","2,97,939",18.78,2.70,-3.40,"2,795",2.70,2.85,"1,755","25,250.00",65,"1,025.95","1,054.15",65,314.50,"1,096.95",34.09,1,-,28,
,"67,641","4,395","6,55,750",19.32,2.50,-2.65,"6,760",2.45,2.50,"28,990","25,300.00",65,"1,083.10","1,101.00",65,135.50,"1,073.40",-,80,7,92,
,"17,193","-3,104","1,53,403",19.66,2.15,-2.15,"2,210",2.15,2.35,"2,275","25,350.00",65,"1,121.45","1,155.55",65,170.50,"1,122.50",-,2,-1,3,
,"74,762","7,402","3,95,471",20.25,2.05,-1.75,"1,170",2.00,2.05,195,"25,400.00",65,"1,178.35","1,194.30",65,166.75,"1,190.15",-,12,-9,103,
,"29,862","11,693","1,19,893",20.39,1.65,-1.35,"2,275",1.65,1.75,"1,105","25,450.00",780,"1,163.30","1,280.75",390,-,-,20.95,-,-,3,
,"1,81,291","68,669","7,32,490",21.00,1.60,-0.95,"1,690",1.55,1.60,"1,690","25,500.00",65,"1,282.90","1,292.00",65,157.50,"1,283.95",-,609,-104,"3,360",
,"27,849","3,072","81,338",21.25,1.35,-0.65,"1,495",1.25,1.50,"2,600","25,550.00",780,"1,276.35","1,382.85",780,-,-,-,-,-,10,
,"82,952","23,745","2,83,304",21.52,1.15,-0.55,65,1.20,1.25,"1,755","25,600.00",65,"1,379.45","1,429.40",390,175.00,"1,380.00",-,30,-10,69,
,"14,056","1,445","56,763",22.06,1.10,-0.35,"1,365",1.10,1.25,"1,235","25,650.00",780,"1,360.70","1,490.20",390,-,-,-,-,-,37,
,"58,965","8,738","2,24,800",22.94,1.20,-0.15,"2,080",1.05,1.20,"21,255","25,700.00",65,"1,474.25","1,528.05",390,229.05,"1,450.00",-,3,-,6,
